,frame,dominant_emotion,emotion_scores
108,109,happy,"{'angry': np.float32(0.005628416), 'disgust': np.float32(1.0946257e-08), 'fear': np.float32(0.0016028446), 'happy': np.float32(99.96355), 'sad': np.float32(0.0032105981), 'surprise': np.float32(1.30147e-05), 'neutral': np.float32(0.025998268)}"
109,110,happy,"{'angry': np.float32(0.005022233), 'disgust': np.float32(6.512243e-09), 'fear': np.float32(0.003056367), 'happy': np.float32(99.97501), 'sad': np.float32(0.0023111058), 'surprise': np.float32(7.0674473e-06), 'neutral': np.float32(0.014589929)}"
110,111,happy,"{'angry': np.float32(0.0154505735), 'disgust': np.float32(3.915951e-08), 'fear': np.float32(0.005636059), 'happy': np.float32(99.96307), 'sad': np.float32(0.0037751016), 'surprise': np.float32(7.723534e-06), 'neutral': np.float32(0.012064841)}"
111,112,happy,"{'angry': np.float32(8.691569), 'disgust': np.float32(0.00010387781), 'fear': np.float32(0.2333936), 'happy': np.float32(90.926125), 'sad': np.float32(0.09979497), 'surprise': np.float32(0.0006320395), 'neutral': np.float32(0.048389375)}"
112,113,angry,"{'angry': np.float32(75.405655), 'disgust': np.float32(6.7228735e-05), 'fear': np.float32(0.15383376), 'happy': np.float32(24.394821), 'sad': np.float32(0.03600124), 'surprise': np.float32(2.447281e-05), 'neutral': np.float32(0.009597359)}"
113,114,happy,"{'angry': np.float32(12.358105), 'disgust': np.float32(2.678419e-07), 'fear': np.float32(3.4412737), 'happy': np.float32(84.02185), 'sad': np.float32(0.061221857), 'surprise': np.float32(2.7233633e-05), 'neutral': np.float32(0.11752347)}"
114,115,happy,"{'angry': np.float32(9.787782), 'disgust': np.float32(2.8719898e-09), 'fear': np.float32(13.762385), 'happy': np.float32(76.43894), 'sad': np.float32(0.0026096725), 'surprise': np.float32(3.175997e-05), 'neutral': np.float32(0.008244158)}"
115,116,happy,"{'angry': np.float32(14.152616), 'disgust': np.float32(7.495873e-09), 'fear': np.float32(11.300711), 'happy': np.float32(74.53739), 'sad': np.float32(0.0016398318), 'surprise': np.float32(0.00031841776), 'neutral': np.float32(0.0073313303)}"
116,117,happy,"{'angry': np.float32(0.9607533), 'disgust': np.float32(9.054252e-09), 'fear': np.float32(0.82330006), 'happy': np.float32(98.20852), 'sad': np.float32(0.0006339072), 'surprise': np.float32(0.00018422579), 'neutral': np.float32(0.0066187773)}"
117,118,neutral,"{'angry': np.float32(0.41342098), 'disgust': np.float32(3.5734695e-07), 'fear': np.float32(0.12760426), 'happy': np.float32(0.2540904), 'sad': np.float32(0.32527474), 'surprise': np.float32(0.011355435), 'neutral': np.float32(98.86825)}"
118,119,fear,"{'angry': np.float32(3.3628872e-05), 'disgust': np.float32(8.632363e-11), 'fear': np.float32(39.922638), 'happy': np.float32(0.002603629), 'sad': np.float32(26.525951), 'surprise': np.float32(4.8829457e-05), 'neutral': np.float32(33.54872)}"
119,120,neutral,"{'angry': np.float32(0.006475371), 'disgust': np.float32(4.4886456e-12), 'fear': np.float32(0.005678731), 'happy': np.float32(0.0014235995), 'sad': np.float32(0.18727389), 'surprise': np.float32(5.821612e-06), 'neutral': np.float32(99.79914)}"
120,121,neutral,"{'angry': np.float32(0.57524824), 'disgust': np.float32(2.3658984e-06), 'fear': np.float32(0.6282237), 'happy': np.float32(0.121558495), 'sad': np.float32(1.0554711), 'surprise': np.float32(0.0077298013), 'neutral': np.float32(97.61177)}"
121,122,neutral,"{'angry': np.float32(1.6207497), 'disgust': np.float32(7.12017e-07), 'fear': np.float32(3.248246), 'happy': np.float32(0.043393333), 'sad': np.float32(5.384961), 'surprise': np.float32(0.009377317), 'neutral': np.float32(89.693275)}"
122,123,neutral,"{'angry': np.float32(0.11320041), 'disgust': np.float32(7.460898e-10), 'fear': np.float32(0.06179458), 'happy': np.float32(0.0027666804), 'sad': np.float32(0.7599203), 'surprise': np.float32(0.000107782216), 'neutral': np.float32(99.06221)}"
123,124,neutral,"{'angry': np.float32(23.096321), 'disgust': np.float32(9.047045e-07), 'fear': np.float32(7.0546207), 'happy': np.float32(0.01011682), 'sad': np.float32(32.31749), 'surprise': np.float32(0.021780156), 'neutral': np.float32(37.499664)}"
124,125,happy,"{'angry': np.float32(10.024864), 'disgust': np.float32(1.7231365e-07), 'fear': np.float32(0.29362783), 'happy': np.float32(89.67459), 'sad': np.float32(0.0033205964), 'surprise': np.float32(6.4564e-05), 'neutral': np.float32(0.0035278364)}"
125,126,happy,"{'angry': np.float32(28.489607), 'disgust': np.float32(2.356264e-07), 'fear': np.float32(0.043303482), 'happy': np.float32(71.46115), 'sad': np.float32(0.0020805602), 'surprise': np.float32(7.192202e-05), 'neutral': np.float32(0.0037808148)}"
126,127,sad,"{'angry': np.float32(0.0019193446), 'disgust': np.float32(9.999984e-10), 'fear': np.float32(0.04318651), 'happy': np.float32(1.530959e-05), 'sad': np.float32(99.86583), 'surprise': np.float32(2.8440863e-07), 'neutral': np.float32(0.08905231)}"
127,128,happy,"{'angry': np.float32(1.8469563), 'disgust': np.float32(5.9074314e-09), 'fear': np.float32(0.00083380355), 'happy': np.float32(98.12665), 'sad': np.float32(0.0008595053), 'surprise': np.float32(1.5851554e-05), 'neutral': np.float32(0.024680141)}"
128,129,happy,"{'angry': np.float32(0.4033344), 'disgust': np.float32(3.139693e-09), 'fear': np.float32(0.0037701442), 'happy': np.float32(99.58827), 'sad': np.float32(0.00030058424), 'surprise': np.float32(0.00026897882), 'neutral': np.float32(0.0040583373)}"
129,130,neutral,"{'angry': np.float32(0.13109508), 'disgust': np.float32(1.15362596e-07), 'fear': np.float32(0.2179251), 'happy': np.float32(0.22954063), 'sad': np.float32(0.34588677), 'surprise': np.float32(0.058623385), 'neutral': np.float32(99.01694)}"
130,131,happy,"{'angry': np.float32(0.19219767), 'disgust': np.float32(6.0007284e-09), 'fear': np.float32(0.009374362), 'happy': np.float32(99.79337), 'sad': np.float32(0.0006355268), 'surprise': np.float32(0.00013741545), 'neutral': np.float32(0.004281985)}"
131,132,happy,"{'angry': np.float32(0.22299543), 'disgust': np.float32(1.1443434e-08), 'fear': np.float32(0.008186473), 'happy': np.float32(99.75748), 'sad': np.float32(0.0011177683), 'surprise': np.float32(0.00024099338), 'neutral': np.float32(0.009988016)}"
132,133,happy,"{'angry': np.float32(0.61823034), 'disgust': np.float32(7.032359e-08), 'fear': np.float32(0.00822896), 'happy': np.float32(99.322525), 'sad': np.float32(0.0054457476), 'surprise': np.float32(0.0006566592), 'neutral': np.float32(0.044906795)}"
133,134,happy,"{'angry': np.float32(0.8674726), 'disgust': np.float32(1.5466456e-06), 'fear': np.float32(0.04128266), 'happy': np.float32(98.9523), 'sad': np.float32(0.021094585), 'surprise': np.float32(0.0044441395), 'neutral': np.float32(0.11340181)}"
134,135,happy,"{'angry': np.float32(0.36817035), 'disgust': np.float32(7.845686e-08), 'fear': np.float32(0.06460371), 'happy': np.float32(99.5019), 'sad': np.float32(0.0024334502), 'surprise': np.float32(0.0012302899), 'neutral': np.float32(0.06167287)}"
135,136,neutral,"{'angry': np.float32(0.026851578), 'disgust': np.float32(1.6589689e-07), 'fear': np.float32(0.25255996), 'happy': np.float32(0.11594096), 'sad': np.float32(0.47045428), 'surprise': np.float32(0.0013045734), 'neutral': np.float32(99.13289)}"
136,137,neutral,"{'angry': np.float32(0.2550967), 'disgust': np.float32(2.4526541e-06), 'fear': np.float32(1.0131212), 'happy': np.float32(0.157339), 'sad': np.float32(1.1926877), 'surprise': np.float32(0.046596766), 'neutral': np.float32(97.33515)}"
137,138,neutral,"{'angry': np.float32(0.012128279), 'disgust': np.float32(4.06475e-09), 'fear': np.float32(0.01700721), 'happy': np.float32(0.0101304725), 'sad': np.float32(0.21431674), 'surprise': np.float32(8.082126e-05), 'neutral': np.float32(99.74634)}"
138,139,neutral,"{'angry': np.float32(0.0616614), 'disgust': np.float32(4.2278452e-07), 'fear': np.float32(0.31600845), 'happy': np.float32(0.17091388), 'sad': np.float32(0.28265914), 'surprise': np.float32(0.02576301), 'neutral': np.float32(99.143)}"
139,140,neutral,"{'angry': np.float32(0.012634016), 'disgust': np.float32(1.0385219e-07), 'fear': np.float32(0.086926445), 'happy': np.float32(0.34365895), 'sad': np.float32(0.22651099), 'surprise': np.float32(0.0025019373), 'neutral': np.float32(99.32777)}"
140,141,neutral,"{'angry': np.float32(0.023164079), 'disgust': np.float32(3.081591e-07), 'fear': np.float32(0.31113577), 'happy': np.float32(0.24761355), 'sad': np.float32(0.47470918), 'surprise': np.float32(0.017092878), 'neutral': np.float32(98.926285)}"
141,142,neutral,"{'angry': np.float32(0.008207911), 'disgust': np.float32(3.1605452e-08), 'fear': np.float32(0.058146015), 'happy': np.float32(0.09222217), 'sad': np.float32(0.40652338), 'surprise': np.float32(0.0027873884), 'neutral': np.float32(99.43211)}"
142,143,neutral,"{'angry': np.float32(1.6399635), 'disgust': np.float32(0.00017302355), 'fear': np.float32(15.751515), 'happy': np.float32(7.493145), 'sad': np.float32(0.38000095), 'surprise': np.float32(3.6460505), 'neutral': np.float32(71.08916)}"
143,144,neutral,"{'angry': np.float32(0.0018829827), 'disgust': np.float32(1.1903518e-10), 'fear': np.float32(0.0017282236), 'happy': np.float32(0.04810044), 'sad': np.float32(0.02873752), 'surprise': np.float32(6.025551e-05), 'neutral': np.float32(99.919495)}"
144,145,neutral,"{'angry': np.float32(1.190872), 'disgust': np.float32(1.9115001e-05), 'fear': np.float32(11.074236), 'happy': np.float32(2.227146), 'sad': np.float32(0.40039644), 'surprise': np.float32(2.7447152), 'neutral': np.float32(82.36262)}"
145,146,neutral,"{'angry': np.float32(0.010923673), 'disgust': np.float32(1.9287265e-08), 'fear': np.float32(0.06412062), 'happy': np.float32(0.21793585), 'sad': np.float32(0.20618057), 'surprise': np.float32(0.007579406), 'neutral': np.float32(99.493256)}"
146,147,neutral,"{'angry': np.float32(0.014266705), 'disgust': np.float32(1.5933031e-08), 'fear': np.float32(0.08927625), 'happy': np.float32(0.067341395), 'sad': np.float32(0.35444176), 'surprise': np.float32(0.005246861), 'neutral': np.float32(99.46943)}"
147,148,neutral,"{'angry': np.float32(0.07043796), 'disgust': np.float32(9.49912e-08), 'fear': np.float32(0.21435142), 'happy': np.float32(0.1793389), 'sad': np.float32(0.23376486), 'surprise': np.float32(0.054118045), 'neutral': np.float32(99.24799)}"
148,149,neutral,"{'angry': np.float32(0.028809851), 'disgust': np.float32(1.1329652e-07), 'fear': np.float32(0.09544968), 'happy': np.float32(0.37806076), 'sad': np.float32(0.2021427), 'surprise': np.float32(0.009821718), 'neutral': np.float32(99.28572)}"
149,150,neutral,"{'angry': np.float32(0.011504553), 'disgust': np.float32(3.6796681e-09), 'fear': np.float32(0.015189748), 'happy': np.float32(0.047787916), 'sad': np.float32(0.12565519), 'surprise': np.float32(0.000106314816), 'neutral': np.float32(99.79976)}"
150,151,neutral,"{'angry': np.float32(0.066495374), 'disgust': np.float32(5.23378e-09), 'fear': np.float32(0.049689412), 'happy': np.float32(0.004829035), 'sad': np.float32(0.4372823), 'surprise': np.float32(0.00056921085), 'neutral': np.float32(99.441124)}"
151,152,neutral,"{'angry': np.float32(0.006047284), 'disgust': np.float32(6.7337746e-11), 'fear': np.float32(0.00518203), 'happy': np.float32(0.0036326684), 'sad': np.float32(0.061767384), 'surprise': np.float32(4.9180995e-05), 'neutral': np.float32(99.923325)}"
152,153,neutral,"{'angry': np.float32(0.032287866), 'disgust': np.float32(1.9380162e-09), 'fear': np.float32(0.06170241), 'happy': np.float32(0.008736237), 'sad': np.float32(0.15267567), 'surprise': np.float32(0.0017922162), 'neutral': np.float32(99.7428)}"
153,154,neutral,"{'angry': np.float32(0.4672939), 'disgust': np.float32(2.3146337e-07), 'fear': np.float32(0.40140593), 'happy': np.float32(0.024776299), 'sad': np.float32(2.9190862), 'surprise': np.float32(0.0085019795), 'neutral': np.float32(96.17894)}"
154,155,neutral,"{'angry': np.float32(1.7558285), 'disgust': np.float32(1.6661349e-07), 'fear': np.float32(0.24851352), 'happy': np.float32(0.022891222), 'sad': np.float32(14.849774), 'surprise': np.float32(0.00081070646), 'neutral': np.float32(83.122185)}"
155,156,neutral,"{'angry': np.float32(3.6718984), 'disgust': np.float32(2.9402361e-05), 'fear': np.float32(1.9190487), 'happy': np.float32(0.0403165), 'sad': np.float32(44.43489), 'surprise': np.float32(0.0083857775), 'neutral': np.float32(49.925426)}"
156,157,happy,"{'angry': np.float32(0.16829096), 'disgust': np.float32(2.8768565e-12), 'fear': np.float32(0.13379486), 'happy': np.float32(99.68386), 'sad': np.float32(8.861031e-06), 'surprise': np.float32(0.0006901584), 'neutral': np.float32(0.013353186)}"
157,158,sad,"{'angry': np.float32(7.149993), 'disgust': np.float32(8.3054314e-05), 'fear': np.float32(3.0373445), 'happy': np.float32(0.007257278), 'sad': np.float32(54.07681), 'surprise': np.float32(0.00150171), 'neutral': np.float32(35.72701)}"
158,159,neutral,"{'angry': np.float32(2.568245), 'disgust': np.float32(1.408355e-05), 'fear': np.float32(1.4400314), 'happy': np.float32(0.086903535), 'sad': np.float32(44.3524), 'surprise': np.float32(0.013320216), 'neutral': np.float32(51.53908)}"
159,160,neutral,"{'angry': np.float32(5.0763855), 'disgust': np.float32(7.742911e-06), 'fear': np.float32(1.558422), 'happy': np.float32(0.02741254), 'sad': np.float32(36.062973), 'surprise': np.float32(0.0117106475), 'neutral': np.float32(57.263096)}"
160,161,neutral,"{'angry': np.float32(5.23733), 'disgust': np.float32(2.1265598e-06), 'fear': np.float32(1.5073863), 'happy': np.float32(0.07238705), 'sad': np.float32(42.58961), 'surprise': np.float32(0.021637121), 'neutral': np.float32(50.571644)}"
161,162,happy,"{'angry': np.float32(0.113817334), 'disgust': np.float32(1.7106336e-08), 'fear': np.float32(0.041249964), 'happy': np.float32(99.790955), 'sad': np.float32(0.00036957723), 'surprise': np.float32(0.016309712), 'neutral': np.float32(0.037297923)}"
162,163,happy,"{'angry': np.float32(0.036231674), 'disgust': np.float32(9.0437e-09), 'fear': np.float32(0.07341428), 'happy': np.float32(99.82675), 'sad': np.float32(0.00019808399), 'surprise': np.float32(0.037466872), 'neutral': np.float32(0.025935497)}"
163,164,neutral,"{'angry': np.float32(0.4731682), 'disgust': np.float32(2.5568283e-09), 'fear': np.float32(0.30932835), 'happy': np.float32(0.012480999), 'sad': np.float32(3.1999776), 'surprise': np.float32(0.005415068), 'neutral': np.float32(95.999626)}"
164,165,sad,"{'angry': np.float32(1.9585893), 'disgust': np.float32(3.8021294e-06), 'fear': np.float32(2.9648643), 'happy': np.float32(0.07988601), 'sad': np.float32(56.27784), 'surprise': np.float32(0.06902769), 'neutral': np.float32(38.649784)}"
165,166,sad,"{'angry': np.float32(6.9140935), 'disgust': np.float32(0.0032743528), 'fear': np.float32(18.30118), 'happy': np.float32(0.31503397), 'sad': np.float32(49.229725), 'surprise': np.float32(0.16192034), 'neutral': np.float32(25.074778)}"
166,167,neutral,"{'angry': np.float32(0.17431365), 'disgust': np.float32(2.5734138e-07), 'fear': np.float32(0.31546926), 'happy': np.float32(0.119056396), 'sad': np.float32(0.26164463), 'surprise': np.float32(0.07774276), 'neutral': np.float32(99.05177)}"
167,168,neutral,"{'angry': np.float32(0.0660584), 'disgust': np.float32(1.1707425e-07), 'fear': np.float32(0.18679933), 'happy': np.float32(0.09843512), 'sad': np.float32(0.24645619), 'surprise': np.float32(0.037246224), 'neutral': np.float32(99.365005)}"
168,169,neutral,"{'angry': np.float32(7.736818), 'disgust': np.float32(0.0046368446), 'fear': np.float32(37.06941), 'happy': np.float32(7.9934177), 'sad': np.float32(4.0712852), 'surprise': np.float32(1.8390175), 'neutral': np.float32(41.285423)}"
169,170,neutral,"{'angry': np.float32(0.09291537), 'disgust': np.float32(2.2109998e-07), 'fear': np.float32(0.40647775), 'happy': np.float32(0.2643037), 'sad': np.float32(0.8376671), 'surprise': np.float32(0.015436604), 'neutral': np.float32(98.3832)}"
170,171,neutral,"{'angry': np.float32(0.3395393), 'disgust': np.float32(7.783663e-06), 'fear': np.float32(1.5429807), 'happy': np.float32(0.61982864), 'sad': np.float32(2.486603), 'surprise': np.float32(0.034660272), 'neutral': np.float32(94.97639)}"
171,172,neutral,"{'angry': np.float32(0.09849984), 'disgust': np.float32(2.3232398e-07), 'fear': np.float32(0.27279726), 'happy': np.float32(0.14891618), 'sad': np.float32(1.097533), 'surprise': np.float32(0.014710856), 'neutral': np.float32(98.367546)}"
172,173,neutral,"{'angry': np.float32(0.42748198), 'disgust': np.float32(4.926365e-06), 'fear': np.float32(2.9273515), 'happy': np.float32(0.49717957), 'sad': np.float32(5.8889093), 'surprise': np.float32(0.048238065), 'neutral': np.float32(90.21084)}"
173,174,fear,"{'angry': np.float32(4.9690766), 'disgust': np.float32(0.05774945), 'fear': np.float32(64.87722), 'happy': np.float32(8.181217), 'sad': np.float32(4.9605513), 'surprise': np.float32(1.7134677), 'neutral': np.float32(15.240728)}"
174,175,neutral,"{'angry': np.float32(1.329561), 'disgust': np.float32(0.00033610646), 'fear': np.float32(34.03719), 'happy': np.float32(7.4579453), 'sad': np.float32(5.9449363), 'surprise': np.float32(0.3359227), 'neutral': np.float32(50.894104)}"
175,176,fear,"{'angry': np.float32(1.3693084), 'disgust': np.float32(0.00037367104), 'fear': np.float32(41.867645), 'happy': np.float32(8.545186), 'sad': np.float32(18.370243), 'surprise': np.float32(0.07308914), 'neutral': np.float32(29.774153)}"
176,177,fear,"{'angry': np.float32(7.7582107), 'disgust': np.float32(0.002710862), 'fear': np.float32(61.11714), 'happy': np.float32(2.9775863), 'sad': np.float32(5.2751446), 'surprise': np.float32(0.6691976), 'neutral': np.float32(22.200005)}"
177,178,neutral,"{'angry': np.float32(0.018239308), 'disgust': np.float32(2.3545663e-09), 'fear': np.float32(0.06128286), 'happy': np.float32(0.026579548), 'sad': np.float32(1.007398), 'surprise': np.float32(0.0009240114), 'neutral': np.float32(98.885574)}"
178,179,neutral,"{'angry': np.float32(0.038025085), 'disgust': np.float32(1.4405129e-08), 'fear': np.float32(0.31418407), 'happy': np.float32(0.006327408), 'sad': np.float32(0.7857546), 'surprise': np.float32(0.0012616832), 'neutral': np.float32(98.854454)}"
179,180,happy,"{'angry': np.float32(0.3013741), 'disgust': np.float32(1.3705322e-10), 'fear': np.float32(1.1959014), 'happy': np.float32(98.50115), 'sad': np.float32(2.6032312e-05), 'surprise': np.float32(0.001313535), 'neutral': np.float32(0.00024013067)}"
180,181,neutral,"{'angry': np.float32(0.8839044), 'disgust': np.float32(6.219642e-05), 'fear': np.float32(11.382823), 'happy': np.float32(0.6666577), 'sad': np.float32(6.7437053), 'surprise': np.float32(0.01586095), 'neutral': np.float32(80.30699)}"
181,182,neutral,"{'angry': np.float32(1.3851726), 'disgust': np.float32(9.752757e-06), 'fear': np.float32(3.27404), 'happy': np.float32(0.10356235), 'sad': np.float32(7.8865743), 'surprise': np.float32(0.014509033), 'neutral': np.float32(87.336136)}"
182,183,happy,"{'angry': np.float32(22.377596), 'disgust': np.float32(1.2699437e-07), 'fear': np.float32(0.34455955), 'happy': np.float32(77.26087), 'sad': np.float32(0.00026691155), 'surprise': np.float32(0.016255498), 'neutral': np.float32(0.00045128373)}"
183,184,neutral,"{'angry': np.float32(1.9285736), 'disgust': np.float32(0.00017480543), 'fear': np.float32(15.082155), 'happy': np.float32(0.39151344), 'sad': np.float32(22.119669), 'surprise': np.float32(0.00935965), 'neutral': np.float32(60.468555)}"
184,185,neutral,"{'angry': np.float32(0.05418012), 'disgust': np.float32(2.3912834e-08), 'fear': np.float32(0.048357025), 'happy': np.float32(0.037640076), 'sad': np.float32(2.455984), 'surprise': np.float32(1.6116348e-05), 'neutral': np.float32(97.403824)}"
185,186,neutral,"{'angry': np.float32(0.48853627), 'disgust': np.float32(7.945255e-06), 'fear': np.float32(18.112026), 'happy': np.float32(1.0791392), 'sad': np.float32(2.9520102), 'surprise': np.float32(0.0069271256), 'neutral': np.float32(77.36136)}"
186,187,happy,"{'angry': np.float32(5.6576104), 'disgust': np.float32(9.669335e-09), 'fear': np.float32(0.16604719), 'happy': np.float32(94.16648), 'sad': np.float32(5.5257442e-05), 'surprise': np.float32(0.0087860245), 'neutral': np.float32(0.0010194468)}"
187,188,happy,"{'angry': np.float32(10.788619), 'disgust': np.float32(3.6142335e-08), 'fear': np.float32(0.18040195), 'happy': np.float32(89.02462), 'sad': np.float32(0.00033738426), 'surprise': np.float32(0.0043892367), 'neutral': np.float32(0.0016347193)}"
188,189,fear,"{'angry': np.float32(2.7958853e-05), 'disgust': np.float32(1.3017538e-12), 'fear': np.float32(61.35912), 'happy': np.float32(1.8464725e-06), 'sad': np.float32(36.398357), 'surprise': np.float32(2.7799101e-06), 'neutral': np.float32(2.2425017)}"
189,190,happy,"{'angry': np.float32(14.659898), 'disgust': np.float32(1.03700884e-07), 'fear': np.float32(0.0040230374), 'happy': np.float32(85.323555), 'sad': np.float32(0.0006975892), 'surprise': np.float32(0.00062265736), 'neutral': np.float32(0.011205432)}"
190,191,happy,"{'angry': np.float32(2.6025546), 'disgust': np.float32(1.6377665e-08), 'fear': np.float32(0.0028771963), 'happy': np.float32(97.38166), 'sad': np.float32(0.0008601939), 'surprise': np.float32(0.00024936552), 'neutral': np.float32(0.0118041225)}"
191,192,happy,"{'angry': np.float32(0.30847937), 'disgust': np.float32(2.8553884e-09), 'fear': np.float32(0.0033558304), 'happy': np.float32(99.6835), 'sad': np.float32(0.00041087158), 'surprise': np.float32(4.1643045e-05), 'neutral': np.float32(0.0042110947)}"
192,193,neutral,"{'angry': np.float32(3.9659255), 'disgust': np.float32(2.744224e-06), 'fear': np.float32(16.380905), 'happy': np.float32(2.066812), 'sad': np.float32(7.335367), 'surprise': np.float32(0.37406525), 'neutral': np.float32(69.87692)}"
193,194,happy,"{'angry': np.float32(0.039768815), 'disgust': np.float32(7.0821543e-10), 'fear': np.float32(0.1479273), 'happy': np.float32(99.77287), 'sad': np.float32(0.0025360598), 'surprise': np.float32(0.000293675), 'neutral': np.float32(0.036600854)}"
194,195,happy,"{'angry': np.float32(3.033373), 'disgust': np.float32(1.5659006e-06), 'fear': np.float32(0.14641215), 'happy': np.float32(96.77849), 'sad': np.float32(0.01722207), 'surprise': np.float32(0.00025836672), 'neutral': np.float32(0.024255138)}"
195,196,happy,"{'angry': np.float32(0.2659019), 'disgust': np.float32(3.4097175e-10), 'fear': np.float32(0.05783935), 'happy': np.float32(99.66929), 'sad': np.float32(0.00022824992), 'surprise': np.float32(6.4737455e-05), 'neutral': np.float32(0.0066726482)}"
196,197,happy,"{'angry': np.float32(0.006615954), 'disgust': np.float32(2.8088689e-13), 'fear': np.float32(0.1775787), 'happy': np.float32(99.81347), 'sad': np.float32(2.447603e-06), 'surprise': np.float32(0.0022523054), 'neutral': np.float32(7.1626666e-05)}"
197,198,happy,"{'angry': np.float32(12.908296), 'disgust': np.float32(3.532815e-10), 'fear': np.float32(0.59954), 'happy': np.float32(86.37598), 'sad': np.float32(5.9822005e-06), 'surprise': np.float32(0.116153955), 'neutral': np.float32(3.1389725e-05)}"
198,199,happy,"{'angry': np.float32(7.324982), 'disgust': np.float32(5.296515e-11), 'fear': np.float32(0.6284025), 'happy': np.float32(92.01566), 'sad': np.float32(2.8054744e-06), 'surprise': np.float32(0.03093281), 'neutral': np.float32(2.330775e-05)}"
199,200,happy,"{'angry': np.float32(20.43673), 'disgust': np.float32(3.7219597e-10), 'fear': np.float32(0.68740237), 'happy': np.float32(78.84243), 'sad': np.float32(7.510195e-06), 'surprise': np.float32(0.033408027), 'neutral': np.float32(3.2089873e-05)}"
200,201,angry,"{'angry': np.float32(32.260906), 'disgust': np.float32(4.0611056e-07), 'fear': np.float32(23.33118), 'happy': np.float32(0.012658992), 'sad': np.float32(21.982332), 'surprise': np.float32(0.89191055), 'neutral': np.float32(21.521015)}"
201,202,angry,"{'angry': np.float32(51.732456), 'disgust': np.float32(1.4837462e-07), 'fear': np.float32(0.090592444), 'happy': np.float32(48.151115), 'sad': np.float32(0.0001677873), 'surprise': np.float32(0.025327953), 'neutral': np.float32(0.00033785595)}"
202,203,angry,"{'angry': np.float32(67.46318), 'disgust': np.float32(4.94699e-08), 'fear': np.float32(0.044668797), 'happy': np.float32(32.478096), 'sad': np.float32(0.00011501937), 'surprise': np.float32(0.013709353), 'neutral': np.float32(0.00023226667)}"
203,204,angry,"{'angry': np.float32(49.814972), 'disgust': np.float32(2.0144422e-07), 'fear': np.float32(18.819956), 'happy': np.float32(0.017240064), 'sad': np.float32(18.366434), 'surprise': np.float32(1.6236877), 'neutral': np.float32(11.357715)}"
204,205,sad,"{'angry': np.float32(29.221254), 'disgust': np.float32(3.1371223e-07), 'fear': np.float32(9.35041), 'happy': np.float32(0.006065346), 'sad': np.float32(45.02833), 'surprise': np.float32(0.17038764), 'neutral': np.float32(16.22355)}"
205,206,sad,"{'angry': np.float32(7.702411), 'disgust': np.float32(9.7699985e-06), 'fear': np.float32(15.444043), 'happy': np.float32(0.052410822), 'sad': np.float32(46.075085), 'surprise': np.float32(0.06368236), 'neutral': np.float32(30.662357)}"
206,207,happy,"{'angry': np.float32(1.6728303), 'disgust': np.float32(1.3842015e-08), 'fear': np.float32(1.5969112), 'happy': np.float32(96.6265), 'sad': np.float32(0.0010020672), 'surprise': np.float32(0.10071054), 'neutral': np.float32(0.002046454)}"
207,208,neutral,"{'angry': np.float32(1.0163374), 'disgust': np.float32(7.096629e-06), 'fear': np.float32(0.93702096), 'happy': np.float32(0.13036415), 'sad': np.float32(1.9110624), 'surprise': np.float32(0.0059873387), 'neutral': np.float32(95.99922)}"
208,209,neutral,"{'angry': np.float32(0.4627528), 'disgust': np.float32(1.2392342e-05), 'fear': np.float32(0.26865166), 'happy': np.float32(0.44855496), 'sad': np.float32(0.35634694), 'surprise': np.float32(0.012113561), 'neutral': np.float32(98.45157)}"
209,210,neutral,"{'angry': np.float32(2.4048278), 'disgust': np.float32(0.00040739967), 'fear': np.float32(6.308878), 'happy': np.float32(1.2395508), 'sad': np.float32(2.443049), 'surprise': np.float32(0.4470225), 'neutral': np.float32(87.156265)}"
210,211,happy,"{'angry': np.float32(1.1118517), 'disgust': np.float32(3.4740582e-09), 'fear': np.float32(1.4462464), 'happy': np.float32(97.338135), 'sad': np.float32(0.00097607577), 'surprise': np.float32(0.09256731), 'neutral': np.float32(0.010211791)}"
211,212,happy,"{'angry': np.float32(2.9338868), 'disgust': np.float32(8.146224e-09), 'fear': np.float32(0.23556174), 'happy': np.float32(96.76641), 'sad': np.float32(0.00089100207), 'surprise': np.float32(0.051298305), 'neutral': np.float32(0.011954162)}"
212,213,fear,"{'angry': np.float32(10.698617), 'disgust': np.float32(0.026762243), 'fear': np.float32(50.32596), 'happy': np.float32(4.466755), 'sad': np.float32(6.580954), 'surprise': np.float32(2.8133214), 'neutral': np.float32(25.087631)}"
213,214,neutral,"{'angry': np.float32(6.044369), 'disgust': np.float32(0.0054959236), 'fear': np.float32(32.527344), 'happy': np.float32(0.46860015), 'sad': np.float32(20.805582), 'surprise': np.float32(0.16212435), 'neutral': np.float32(39.986485)}"
214,215,neutral,"{'angry': np.float32(0.2568272), 'disgust': np.float32(4.599794e-06), 'fear': np.float32(0.55976087), 'happy': np.float32(0.51853174), 'sad': np.float32(0.5509924), 'surprise': np.float32(0.056535285), 'neutral': np.float32(98.05734)}"
215,216,fear,"{'angry': np.float32(2.9289153), 'disgust': np.float32(0.018728081), 'fear': np.float32(66.3106), 'happy': np.float32(1.8571067), 'sad': np.float32(6.7730417), 'surprise': np.float32(0.3419043), 'neutral': np.float32(21.769707)}"
